location	cabin url	image url	caption	lat	lng	cabin_page_url
Jackman, ME 04945, USA	http://cabinporn.com/image/133802620099	http://41.media.tumblr.com/8218fb2ca774fb8ca0e5140f66f1384f/tumblr_nx1t8dQR3C1qzwmsso1_1280.jpg	Cabin on the Moose River near Jackman, Maine. 	45.6240392	-70.2521512	http://cabinporn.com/page/8
Parry Sound, ON, Canada	http://cabinporn.com/image/133732253727	http://40.media.tumblr.com/a0c0603f101cdf0e8a332552b71f67b1/tumblr_mnu4d9oKJn1qzwmsso1_1280.jpg	Cabin on Range Island near Parry Sound, Ontario, Canada.	45.3473925	-80.03478299999999	http://cabinporn.com/page/8
Iceland St, Jerusalem, Israel	http://cabinporn.com/image/133664136368	http://36.media.tumblr.com/65eb9a7f1e0e39a481a48af7e37687f3/tumblr_nwv9trIVVf1qzwmsso1_1280.jpg	Baldvinsskali Hut on Fimmvörðuháls Pass, Iceland.	31.75909789999999	35.1665329	http://cabinporn.com/page/8
Sweden	http://cabinporn.com/image/133600298869	http://41.media.tumblr.com/867b4c887b0a801f97157bda99fe2728/tumblr_mpq0kt62A41qzwmsso1_1280.jpg	Circular cabin and tub in Prässebo, Sweden.	60.12816100000001	18.643501	http://cabinporn.com/page/8
Humboldt County, CA, USA	http://cabinporn.com/image/133472215605	http://41.media.tumblr.com/c49bdfdd82fe18f1f08bd17b5256ff64/tumblr_nv0fi4FvVp1qzwmsso1_1280.jpg	Artist’s studio in Humboldt County, California.	40.7450055	-123.8695086	http://cabinporn.com/page/8
Kalimantan	http://cabinporn.com/image/133408873622	http://36.media.tumblr.com/36620d364c08b0060ecfc027b3394dc4/tumblr_nxbt2siSA31qzwmsso1_1280.jpg	Farmhouse in Sarawak, Borneo.	0.9618833999999999	114.5548495	http://cabinporn.com/page/8
Kalimantan	http://cabinporn.com/image/133343872392	http://41.media.tumblr.com/bb8389102b446b3147663198ed6e6a8a/tumblr_nx3xotJFbQ1qzwmsso1_1280.jpg	A-frame in Tasmania.	0.9618833999999999	114.5548495	http://cabinporn.com/page/9
Iceland	http://cabinporn.com/image/133204508294	http://36.media.tumblr.com/11f1f271048e4303666b44a3700fb5ab/tumblr_nt4cmzpeI61qzwmsso1_1280.jpg	Emergency shelter in Westfjörd, Iceland.	64.963051	-19.020835	http://cabinporn.com/page/9
McHenry, IL, USA	http://cabinporn.com/image/133139448630	http://36.media.tumblr.com/109e1dc93acb234b38914b4ad078b1dc/tumblr_nqdmnvNlyZ1qzwmsso1_1280.jpg	Historic pioneer hut in McHenry, Illinois.	42.333355	-88.2667534	http://cabinporn.com/page/9
Del Norte, CO 81132, USA	http://cabinporn.com/image/133008927320	http://40.media.tumblr.com/44eba153b8a732fc81aac63c20e951ba/tumblr_nurx7t2yP31qzwmsso1_1280.jpg	Solar-powered cottage in Del Norte, Colorado.	37.6788919	-106.3533683	http://cabinporn.com/page/9
